seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean, dice_std, hd95_mean, hd95_median, hd95_std
   0, 2d_bce_dice ,              100,                           100,     0.851,    0.131,    27.253,      12.569,   27.750
   0, 2d_boundary ,              100,                           100,     0.872,    0.123,    24.288,       8.450,   25.870
   0, 25d_bce_dice,              100,                           100,     0.890,    0.108,    11.459,       3.742,   17.889
   0, 25d_boundary,              100,                           100,     0.870,    0.120,    27.652,      14.938,   28.377
   1, 2d_bce_dice ,              100,                           100,     0.894,    0.089,    10.945,       4.301,   17.798
   1, 2d_boundary ,              100,                           100,     0.885,    0.091,    22.695,       7.487,   26.125
   1, 25d_bce_dice,              100,                           100,     0.898,    0.088,     8.763,       4.123,   14.617
   1, 25d_boundary,              100,                           100,     0.898,    0.088,    12.702,       4.123,   19.152
   2, 2d_bce_dice ,              100,                           100,     0.869,    0.114,    22.084,       6.776,   25.383
   2, 2d_boundary ,              100,                           100,     0.861,    0.122,    28.429,      16.439,   27.919
   2, 25d_bce_dice,              100,                           100,     0.884,    0.098,    12.516,       4.583,   19.425
   2, 25d_boundary,              100,                           100,     0.882,    0.096,    19.313,       7.314,   23.758
