model,n_patients_total,n_patients_used_for_dice,dice_mean,dice_std,n_patients_used_for_hd95,hd95_median,hd95_iqr
2d_bce_dice,35,35,0.923,0.0676,35,2.45,3.24
2d_boundary,35,35,0.927,0.0667,35,2.45,4.28
25d_bce_dice,35,35,0.927,0.067,35,2.45,3.22
25d_boundary,35,35,0.931,0.0657,35,2.24,2.46
