seed,model,n_patients_total,n_patients_used_for_dice_hd95,dice_mean,dice_std,hd95_mean,hd95_median,hd95_std
0,2d_bce_dice,100,100,0.858,0.129,22.168,6.702,26.910
0,2d_boundary,100,100,0.878,0.120,20.410,6.083,24.043
0,25d_bce_dice,100,100,0.890,0.109,10.352,3.606,16.758
0,25d_boundary,100,100,0.876,0.116,23.202,6.117,27.214
1,2d_bce_dice,100,100,0.894,0.089,10.293,4.416,16.809
1,2d_boundary,100,100,0.889,0.090,16.378,5.657,22.715
1,25d_bce_dice,100,100,0.898,0.088,8.129,4.123,13.407
1,25d_boundary,100,100,0.900,0.088,10.791,3.510,17.841
2,2d_bce_dice,100,100,0.874,0.110,18.498,5.739,23.725
2,2d_boundary,100,100,0.869,0.114,23.248,9.192,27.363
2,25d_bce_dice,100,100,0.885,0.096,11.825,4.359,19.101
2,25d_boundary,100,100,0.886,0.091,15.972,5.000,22.583
