grouping,group_name,comparison,metric,count,mean,std,seed
complexity,high_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.10139546255916548,0.0751992025107256,1
complexity,high_30pct,25d_boundary_vs_nonboundary,fpr,30,0.15080726600078428,0.09237770302861203,1
complexity,high_30pct,25d_boundary_vs_nonboundary,hd95,30,0.09709156354268392,4.099616266428228,1
complexity,high_30pct,25d_vs_2d_bce_dice,dice,30,0.00029687691580484457,0.031562642921580016,1
complexity,high_30pct,25d_vs_2d_bce_dice,fnr,30,0.008046347181625979,0.05684927322522373,1
complexity,high_30pct,25d_vs_2d_bce_dice,fpr,30,-0.008147293359136259,0.028184635193721698,1
complexity,high_30pct,25d_vs_2d_bce_dice,hd95,30,0.013885311285654704,3.7950694031418295,1
complexity,high_30pct,2d_boundary_vs_nonboundary,dice,30,-0.021779634083146034,0.04509329786489389,1
complexity,high_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.1135032207219197,0.07430029809789059,1
complexity,high_30pct,2d_boundary_vs_nonboundary,fpr,30,0.36047828633856877,0.14050403125439723,1
complexity,high_30pct,2d_boundary_vs_nonboundary,hd95,30,1.421312650044759,5.804785543253708,1
complexity,low_30pct,25d_boundary_vs_2d_boundary,dice,30,0.003053755871443331,0.039314213600903855,1
complexity,low_30pct,25d_boundary_vs_2d_boundary,fnr,30,0.002135214038372793,0.01999788826442822,1
complexity,low_30pct,25d_boundary_vs_2d_boundary,fpr,30,-0.14052027971360126,0.08134009920249542,1
complexity,low_30pct,25d_boundary_vs_2d_boundary,hd95,30,-0.514529021581014,1.6180658627673985,1
complexity,low_30pct,25d_boundary_vs_nonboundary,dice,30,0.0003676557950733443,0.035503476377643874,1
complexity,low_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.03410959584218589,0.03267250569480856,1
complexity,low_30pct,25d_boundary_vs_nonboundary,fpr,30,0.13362781697474765,0.10277995088389938,1
complexity,low_30pct,25d_boundary_vs_nonboundary,hd95,30,-0.12762529452641805,1.0507802657213765,1
complexity,low_30pct,25d_vs_2d_bce_dice,dice,30,-0.00915481818793824,0.05570314738496068,1
complexity,low_30pct,25d_vs_2d_bce_dice,fnr,30,-0.004067298969425723,0.01997108012299989,1
complexity,low_30pct,25d_vs_2d_bce_dice,fpr,30,-0.012950224017521382,0.027787900994381536,1
complexity,low_30pct,25d_vs_2d_bce_dice,hd95,30,0.029853324095408123,1.5901095421890916,1
