seed,model,n_patients_total,n_patients_used_for_dice_hd95,dice_mean,dice_std,hd95_mean,hd95_median,hd95_std
0,2d_bce_dice,100,100,0.859,0.128,21.773,6.403,26.643
0,2d_boundary,100,100,0.878,0.119,19.438,6.083,23.561
0,25d_bce_dice,100,100,0.890,0.110,10.304,3.606,16.698
0,25d_boundary,100,100,0.877,0.116,22.644,6.117,26.667
1,2d_bce_dice,100,100,0.894,0.089,10.292,4.416,16.814
1,2d_boundary,100,100,0.889,0.090,15.796,5.242,22.576
1,25d_bce_dice,100,100,0.899,0.088,8.088,4.123,13.344
1,25d_boundary,100,100,0.900,0.087,10.725,3.464,17.790
2,2d_bce_dice,100,100,0.874,0.110,17.895,5.288,23.656
2,2d_boundary,100,100,0.870,0.113,22.234,9.165,26.835
2,25d_bce_dice,100,100,0.885,0.096,11.788,4.416,19.075
2,25d_boundary,100,100,0.887,0.091,15.832,5.000,22.551
