grouping_type,group_name,metric,count,mean,std,seed
size,small,delta_dice,4,-0.002425675922320236,0.03197380777367282,0
size,small,delta_hd95,4,8.66707694530487,14.032091407930036,0
size,small,delta_fnr,4,0.009102582683786874,0.02390157081535899,0
size,small,delta_fpr,4,-0.08563072646909228,0.06627481893440183,0
size,large,delta_dice,3,-0.007593464340386065,0.008787447220051788,0
size,large,delta_hd95,3,0.21384918689727783,0.6988921110765084,0
size,large,delta_fnr,3,0.011346548188653452,0.010621754453277274,0
size,large,delta_fpr,3,-0.0880952380952381,0.09443110483358068,0
size,medium,delta_dice,3,6.276419179544283e-05,0.015623059805414327,0
size,medium,delta_hd95,3,1.598412036895752,4.958215425289469,0
size,medium,delta_fnr,3,0.015277777777777779,0.013393959390267994,0
size,medium,delta_fpr,3,-0.1682781813290288,0.05424899726439431,0
complexity,medium_complexity,delta_dice,3,-0.018660731785353952,0.020867494495843276,0
complexity,medium_complexity,delta_hd95,3,10.284984429677328,16.836465470509193,0
complexity,medium_complexity,delta_fnr,3,0.010955940204563336,0.030825061611043904,0
complexity,medium_complexity,delta_fpr,3,-0.0877607998490851,0.08835651521993079,0
complexity,low_complexity,delta_dice,4,-0.0020733552658931675,0.013166848618430278,0
complexity,low_complexity,delta_hd95,4,-0.41165295243263245,1.3750073310744555,0
complexity,low_complexity,delta_fnr,4,0.013718244474823423,0.009885050237899998,0
complexity,low_complexity,delta_fpr,4,-0.09573244552058112,0.07860108219626914,0
complexity,high_complexity,delta_dice,3,0.010660270761527238,0.023582946367792075,0
complexity,high_complexity,delta_hd95,3,3.6322499910990396,3.0751403169374623,0
complexity,high_complexity,delta_fnr,3,0.00951417004048583,0.00831439383721168,0
complexity,high_complexity,delta_fpr,3,-0.15514366083986333,0.064580893558694,0
size,large,delta_dice,3,-0.012684801069607713,0.027526754463992498,1
size,large,delta_hd95,3,-0.12109120686848958,3.360029604259585,1
size,large,delta_fnr,3,0.003663003663003664,0.006344508452633252,1
size,large,delta_fpr,3,-0.1766332304526749,0.06802615837768378,1
size,medium,delta_dice,3,-0.0028594509861976647,0.013487308746457786,1
size,medium,delta_hd95,3,-0.19191908836364746,1.5701931704691034,1
size,medium,delta_fnr,3,-0.001341921631776704,0.016546497736766884,1
size,medium,delta_fpr,3,-0.09659120746836004,0.1847983652088749,1
size,small,delta_dice,4,-0.019990874493831495,0.07554241544872152,1
size,small,delta_hd95,4,-1.7140587270259857,2.7307711822811145,1
size,small,delta_fnr,4,0.04255548373195432,0.06501757862883811,1
size,small,delta_fpr,4,-0.1382021741923427,0.15191556223158661,1
complexity,medium_complexity,delta_dice,3,-0.05225013024639683,0.06938709352877095,1
complexity,medium_complexity,delta_hd95,3,-1.3998111089070637,3.884533842492141,1
complexity,medium_complexity,delta_fnr,3,0.050582551861324244,0.07540943031689169,1
complexity,medium_complexity,delta_fpr,3,-0.06871562976214135,0.06791350081636748,1
complexity,high_complexity,delta_dice,3,0.007349113641641369,0.003876803726572434,1
complexity,high_complexity,delta_hd95,3,-1.6629638671875,1.6272093669446361,1
complexity,high_complexity,delta_fnr,3,0.014652014652014654,0.0167859915566148,1
complexity,high_complexity,delta_fpr,3,-0.13075657894736842,0.20541275071466095,1
complexity,low_complexity,delta_dice,4,0.00202669891788107,0.03202669557187412,1
complexity,low_complexity,delta_hd95,4,0.34826478362083435,1.9709288691857147,1
complexity,low_complexity,delta_fnr,4,-0.004629629629629629,0.009259259259259259,1
complexity,low_complexity,delta_fpr,4,-0.1935163461009866,0.10941190349595165,1
size,small,delta_dice,4,0.028637123124538283,0.020040450793284776,2
size,small,delta_hd95,4,-5.064626544713974,8.551802410256565,2
size,small,delta_fnr,4,-0.03138197821781437,0.06873021396225658,2
size,small,delta_fpr,4,-0.021524742087777576,0.13312238819608269,2
size,large,delta_dice,3,-0.026630776769920057,0.048652556135355546,2
size,large,delta_hd95,3,3.2915725708007812,5.701170929427058,2
size,large,delta_fnr,3,-0.018018018018018018,0.031208122658898694,2
size,large,delta_fpr,3,0.047659916940962686,0.06061149106386228,2
size,medium,delta_dice,3,-0.0027337127794586635,0.006957003358153433,2
size,medium,delta_hd95,3,0.16873415311177573,0.6546445005821996,2
size,medium,delta_fnr,3,-0.004823461315840247,0.02134652764417299,2
size,medium,delta_fpr,3,-0.011179371192208168,0.020060977409748822,2
complexity,high_complexity,delta_dice,3,0.0018341296721160472,0.07385497995798843,2
complexity,high_complexity,delta_hd95,3,-3.5486894051233926,13.813764523943814,2
complexity,high_complexity,delta_fnr,3,-0.029795918367346935,0.07960439461371407,2
complexity,high_complexity,delta_fpr,3,0.01214801710157746,0.09215345116823256,2
complexity,low_complexity,delta_dice,4,0.0013645968552236931,0.0011890358150790097,2
complexity,low_complexity,delta_hd95,4,0.0,0.4782926432380585,2
complexity,low_complexity,delta_fnr,4,-0.020555767034640276,0.02598189036388062,2
complexity,low_complexity,delta_fpr,4,0.004046205581293298,0.016738457023516465,2
complexity,medium_complexity,delta_dice,3,0.005164749137591351,0.015086961998852238,2
complexity,medium_complexity,delta_hd95,3,0.2561607360839844,0.2751429402961545,2
complexity,medium_complexity,delta_fnr,3,-0.007480509210743454,0.037373185823043505,2
complexity,medium_complexity,delta_fpr,3,-0.009762068244917451,0.16084239061908842,2
size,medium,delta_dice,3,0.0008182014905945278,0.0018127315462449463,3
size,medium,delta_hd95,3,0.27339990933736164,0.49599759545069894,3
size,medium,delta_fnr,3,0.009370314842578713,0.00871791855293329,3
size,medium,delta_fpr,3,-0.18308021810692288,0.08452596105462148,3
size,small,delta_dice,4,-0.004240657151165422,0.0791813076469408,3
size,small,delta_hd95,4,2.853954553604126,7.707196806152948,3
size,small,delta_fnr,4,-0.003545918367346936,0.05366773817723893,3
size,small,delta_fpr,4,-0.00663338519172374,0.06523826230800382,3
size,large,delta_dice,3,-0.0012909209659725345,0.01041627898803633,3
size,large,delta_hd95,3,0.07933131853739421,0.869127142266251,3
size,large,delta_fnr,3,-0.008773448773448775,0.007600002432948045,3
size,large,delta_fpr,3,-0.07237404408457042,0.0864003409554326,3
complexity,high_complexity,delta_dice,3,0.003865077864390313,0.04696395284753431,3
complexity,high_complexity,delta_hd95,3,-1.5049145221710205,2.0397588535083075,3
complexity,high_complexity,delta_fnr,3,0.011956521739130437,0.01253539412464217,3
complexity,high_complexity,delta_fpr,3,-0.08059254194076693,0.0842680370617289,3
complexity,medium_complexity,delta_dice,3,-0.008653055611396473,0.08428778795127259,3
complexity,medium_complexity,delta_hd95,3,5.583587169647217,7.171271553983105,3
complexity,medium_complexity,delta_fnr,3,-0.013061224489795917,0.061458057876632534,3
complexity,medium_complexity,delta_fpr,3,-0.07353150246989755,0.18030546855892285,3
complexity,low_complexity,delta_dice,4,-0.0010042134474443076,0.008524164677108282,3
complexity,low_complexity,delta_hd95,4,0.059498488903045654,0.7107470418330893,3
complexity,low_complexity,delta_fnr,4,-0.002269741752500374,0.014411783768079446,3
complexity,low_complexity,delta_fpr,4,-0.08263104852734533,0.07346770609390056,3
size,large,delta_dice,3,-0.005376502290309985,0.014776266643809356,4
size,large,delta_hd95,3,1.2504668235778809,4.507615498096726,4
size,large,delta_fnr,3,-0.0040650406504065045,0.007040856941336899,4
size,large,delta_fpr,3,0.02248424946534881,0.02868837562736447,4
size,small,delta_dice,4,-0.0024904396508517584,0.058834697266021634,4
size,small,delta_hd95,4,3.3411162197589874,7.964184568035516,4
size,small,delta_fnr,4,-0.031962481962481956,0.10353135629391587,4
size,small,delta_fpr,4,0.08600840281942644,0.09970025979931715,4
size,medium,delta_dice,3,0.005616127411135374,0.014436040939411903,4
size,medium,delta_hd95,3,-0.3087898890177409,1.3463535266989435,4
size,medium,delta_fnr,3,0.0043859649122807015,0.007596714068284549,4
size,medium,delta_fpr,3,0.01220815752461322,0.04620477295169278,4
complexity,medium_complexity,delta_dice,3,0.0032798835504735204,0.009628136500773673,4
complexity,medium_complexity,delta_hd95,3,-1.5896491607030232,1.0678305064382456,4
complexity,medium_complexity,delta_fnr,3,-0.00725483331388338,0.018445626848850538,4
complexity,medium_complexity,delta_fpr,3,0.09041293764720156,0.054500450581638604,4
complexity,high_complexity,delta_dice,3,-0.0009421177378136636,0.07195761668578425,4
complexity,high_complexity,delta_hd95,3,4.5928928057352705,9.259626667604472,4
complexity,high_complexity,delta_fnr,3,-0.03504088504088503,0.1265750892198299,4
complexity,high_complexity,delta_fpr,3,0.06362681937485086,0.10910820794586448,4
complexity,low_complexity,delta_dice,4,-0.004064045169727609,0.016350238367659486,4
complexity,low_complexity,delta_hd95,4,1.7949411869049072,2.981186903815302,4
complexity,low_complexity,delta_fnr,4,0.0,0.0,4
complexity,low_complexity,delta_fpr,4,-0.0035021097046413624,0.016555792076412248,4
