seed,model,n_patients_total,n_patients_used_for_dice_hd95,dice_mean,dice_std,hd95_mean,hd95_median,hd95_std
0,2d_bce_dice,100,100,0.862,0.127,20.214,6.082,25.537
0,2d_boundary,100,100,0.879,0.124,17.574,4.812,23.028
0,25d_bce_dice,100,100,0.891,0.110,10.299,3.606,16.715
0,25d_boundary,100,100,0.879,0.114,21.678,5.745,26.148
1,2d_bce_dice,100,100,0.894,0.089,9.862,4.359,16.541
1,2d_boundary,100,100,0.891,0.089,14.419,4.581,22.213
1,25d_bce_dice,100,100,0.899,0.088,8.047,4.123,13.333
1,25d_boundary,100,100,0.900,0.088,10.308,3.436,17.380
2,2d_bce_dice,100,100,0.876,0.109,15.772,4.301,22.193
2,2d_boundary,100,100,0.872,0.111,20.452,6.354,26.487
2,25d_bce_dice,100,100,0.886,0.094,11.411,4.359,18.551
2,25d_boundary,100,100,0.888,0.090,13.679,4.527,20.401
