grouping_type,group_name,metric,count,mean,std,seed
size,small,delta_dice,4,-0.002425675922320236,0.03197380777367282,0
size,small,delta_hd95,4,8.66707694530487,14.032091407930036,0
size,small,delta_fnr,4,0.009102582683786874,0.02390157081535899,0
size,small,delta_fpr,4,-0.08563072646909228,0.06627481893440183,0
size,large,delta_dice,3,-0.007593464340386065,0.008787447220051788,0
size,large,delta_hd95,3,0.21384918689727783,0.6988921110765084,0
size,large,delta_fnr,3,0.011346548188653452,0.010621754453277274,0
size,large,delta_fpr,3,-0.0880952380952381,0.09443110483358068,0
size,medium,delta_dice,3,6.276419179544283e-05,0.015623059805414327,0
size,medium,delta_hd95,3,1.598412036895752,4.958215425289469,0
size,medium,delta_fnr,3,0.015277777777777779,0.013393959390267994,0
size,medium,delta_fpr,3,-0.1682781813290288,0.05424899726439431,0
