grouping_type,group_name,metric,count,mean,std,seed
size,large,delta_dice,3,-0.005376502290309985,0.014776266643809356,4
size,large,delta_hd95,3,1.2504668235778809,4.507615498096726,4
size,large,delta_fnr,3,-0.0040650406504065045,0.007040856941336899,4
size,large,delta_fpr,3,0.02248424946534881,0.02868837562736447,4
size,small,delta_dice,4,-0.0024904396508517584,0.058834697266021634,4
size,small,delta_hd95,4,3.3411162197589874,7.964184568035516,4
size,small,delta_fnr,4,-0.031962481962481956,0.10353135629391587,4
size,small,delta_fpr,4,0.08600840281942644,0.09970025979931715,4
size,medium,delta_dice,3,0.005616127411135374,0.014436040939411903,4
size,medium,delta_hd95,3,-0.3087898890177409,1.3463535266989435,4
size,medium,delta_fnr,3,0.0043859649122807015,0.007596714068284549,4
size,medium,delta_fpr,3,0.01220815752461322,0.04620477295169278,4
