grouping_type,group_name,metric,count,mean,std,seed
size,medium,delta_dice,3,0.0008182014905945278,0.0018127315462449463,3
size,medium,delta_hd95,3,0.27339990933736164,0.49599759545069894,3
size,medium,delta_fnr,3,0.009370314842578713,0.00871791855293329,3
size,medium,delta_fpr,3,-0.18308021810692288,0.08452596105462148,3
size,small,delta_dice,4,-0.004240657151165422,0.0791813076469408,3
size,small,delta_hd95,4,2.853954553604126,7.707196806152948,3
size,small,delta_fnr,4,-0.003545918367346936,0.05366773817723893,3
size,small,delta_fpr,4,-0.00663338519172374,0.06523826230800382,3
size,large,delta_dice,3,-0.0012909209659725345,0.01041627898803633,3
size,large,delta_hd95,3,0.07933131853739421,0.869127142266251,3
size,large,delta_fnr,3,-0.008773448773448775,0.007600002432948045,3
size,large,delta_fpr,3,-0.07237404408457042,0.0864003409554326,3
