seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean, dice_std, hd95_mean, hd95_median, hd95_std
   0, 2d_bce_dice ,              100,                           100,     0.853,    0.131,    25.554,       9.001,   27.746
   0, 2d_boundary ,              100,                           100,     0.873,    0.122,    23.162,       6.702,   25.703
   0, 25d_bce_dice,              100,                           100,     0.890,    0.108,    11.027,       3.674,   17.382
   0, 25d_boundary,              100,                           100,     0.872,    0.119,    26.513,      10.018,   28.550
   1, 2d_bce_dice ,              100,                           100,     0.894,    0.089,    10.984,       4.301,   17.667
   1, 2d_boundary ,              100,                           100,     0.886,    0.090,    21.403,       6.325,   26.141
   1, 25d_bce_dice,              100,                           100,     0.898,    0.088,     8.697,       4.123,   14.229
   1, 25d_boundary,              100,                           100,     0.898,    0.088,    12.085,       3.742,   19.014
   2, 2d_bce_dice ,              100,                           100,     0.870,    0.113,    21.366,       6.632,   24.834
   2, 2d_boundary ,              100,                           100,     0.863,    0.120,    26.728,      11.998,   27.672
   2, 25d_bce_dice,              100,                           100,     0.884,    0.097,    12.369,       4.527,   19.406
   2, 25d_boundary,              100,                           100,     0.883,    0.095,    17.727,       5.874,   22.931
