seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean, dice_std, hd95_mean, hd95_median, hd95_std
   0, 2d_bce_dice ,              100,                           100,     0.855,    0.130,    24.547,       8.653,   27.505
   0, 2d_boundary ,              100,                           100,     0.874,    0.121,    22.352,       6.403,   25.043
   0, 25d_bce_dice,              100,                           100,     0.890,    0.109,    10.683,       3.674,   17.098
   0, 25d_boundary,              100,                           100,     0.873,    0.117,    25.294,       8.307,   28.298
   1, 2d_bce_dice ,              100,                           100,     0.894,    0.089,    10.499,       4.359,   17.246
   1, 2d_boundary ,              100,                           100,     0.887,    0.090,    20.746,       5.999,   25.886
   1, 25d_bce_dice,              100,                           100,     0.898,    0.088,     8.672,       4.123,   14.081
   1, 25d_boundary,              100,                           100,     0.899,    0.088,    11.384,       3.674,   18.291
   2, 2d_bce_dice ,              100,                           100,     0.871,    0.112,    20.116,       6.442,   24.380
   2, 2d_boundary ,              100,                           100,     0.865,    0.119,    25.173,      10.998,   27.413
   2, 25d_bce_dice,              100,                           100,     0.884,    0.097,    12.241,       4.527,   19.313
   2, 25d_boundary,              100,                           100,     0.884,    0.094,    17.153,       5.701,   22.855
