seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean, dice_std, hd95_mean, hd95_median, hd95_std
   0, 2d_bce_dice ,              100,                           100,     0.857,    0.129,    22.637,       6.702,   26.984
   0, 2d_boundary ,              100,                           100,     0.877,    0.120,    21.208,       6.204,   24.329
   0, 25d_bce_dice,              100,                           100,     0.890,    0.108,    10.412,       3.606,   16.781
   0, 25d_boundary,              100,                           100,     0.875,    0.117,    23.603,       6.886,   27.400
   1, 2d_bce_dice ,              100,                           100,     0.894,    0.089,    10.302,       4.359,   16.850
   1, 2d_boundary ,              100,                           100,     0.889,    0.090,    17.501,       5.830,   23.690
   1, 25d_bce_dice,              100,                           100,     0.898,    0.088,     8.143,       4.123,   13.409
   1, 25d_boundary,              100,                           100,     0.899,    0.088,    10.921,       3.581,   17.875
   2, 2d_bce_dice ,              100,                           100,     0.873,    0.111,    18.872,       6.000,   23.798
   2, 2d_boundary ,              100,                           100,     0.868,    0.116,    23.558,       9.667,   27.393
   2, 25d_bce_dice,              100,                           100,     0.885,    0.096,    11.917,       4.416,   19.209
   2, 25d_boundary,              100,                           100,     0.886,    0.092,    16.405,       5.050,   22.701
