grouping,group_name,comparison,metric,count,mean,std,seed
size,high_30pct,25d_boundary_vs_nonboundary,hd95,30,-0.08104440768559774,1.3899626109325243,1
size,high_30pct,25d_vs_2d_bce_dice,dice,30,-0.011875107685780787,0.05527626773236675,1
size,high_30pct,25d_vs_2d_bce_dice,fnr,30,-0.004614402088251592,0.021864237647384165,1
size,high_30pct,25d_vs_2d_bce_dice,fpr,30,-0.011454796398289752,0.026931407643140174,1
size,high_30pct,25d_vs_2d_bce_dice,hd95,30,0.12699069579442343,1.9888490170607385,1
size,high_30pct,2d_boundary_vs_nonboundary,dice,30,-0.01932416738822502,0.050752521054271416,1
size,high_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.03863182285320183,0.03022461096898993,1
size,high_30pct,2d_boundary_vs_nonboundary,fpr,30,0.2713521241099185,0.1418984698092328,1
size,high_30pct,2d_boundary_vs_nonboundary,hd95,30,1.285151688257853,5.35886001882694,1
size,low_30pct,25d_boundary_vs_2d_boundary,dice,30,0.025142764422174304,0.04453480492833813,1
size,low_30pct,25d_boundary_vs_2d_boundary,fnr,30,0.013318038996658212,0.041415973784949114,1
size,low_30pct,25d_boundary_vs_2d_boundary,fpr,30,-0.21412874893741282,0.1205135646409832,1
size,low_30pct,25d_boundary_vs_2d_boundary,hd95,30,1.4423313975334167,11.857393230256305,1
size,low_30pct,25d_boundary_vs_nonboundary,dice,30,-0.0053854960420199995,0.05389850769952393,1
size,low_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.10417896475299414,0.0714854312537719,1
size,low_30pct,25d_boundary_vs_nonboundary,fpr,30,0.19709794360450886,0.11887504405700723,1
size,low_30pct,25d_boundary_vs_nonboundary,hd95,30,2.8154338439305624,12.453924196740363,1
size,low_30pct,25d_vs_2d_bce_dice,dice,30,0.015529673126513226,0.060208442794472496,1
size,low_30pct,25d_vs_2d_bce_dice,fnr,30,0.0019703147055911267,0.06461835563486219,1
size,low_30pct,25d_vs_2d_bce_dice,fpr,30,-0.015393105782580328,0.055528117073799614,1
size,low_30pct,25d_vs_2d_bce_dice,hd95,30,-0.4121718207995097,3.547865541948813,1
size,low_30pct,2d_boundary_vs_nonboundary,dice,30,-0.014998587337681082,0.04058860821133657,1
size,low_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.11552668904406123,0.07698010571181063,1
size,low_30pct,2d_boundary_vs_nonboundary,fpr,30,0.3958335867593414,0.13909983539257617,1
size,low_30pct,2d_boundary_vs_nonboundary,hd95,30,0.9609306255976359,4.2698021515211515,1
size,mid_40pct,25d_boundary_vs_2d_boundary,dice,40,0.009862240002316659,0.025192182244926867,1
size,mid_40pct,25d_boundary_vs_2d_boundary,fnr,40,0.006003783755631055,0.029498283119362544,1
size,mid_40pct,25d_boundary_vs_2d_boundary,fpr,40,-0.16925388158167926,0.08547961885033159,1
size,mid_40pct,25d_boundary_vs_2d_boundary,hd95,40,-0.7369083672761917,1.3324283189254638,1
size,mid_40pct,25d_boundary_vs_nonboundary,dice,40,-0.00029943131937330283,0.022515179998775628,1
size,mid_40pct,25d_boundary_vs_nonboundary,fnr,40,-0.04132331817885286,0.03546475205652295,1
size,mid_40pct,25d_boundary_vs_nonboundary,fpr,40,0.13894203471090055,0.10502558467522177,1
size,mid_40pct,25d_boundary_vs_nonboundary,hd95,40,-0.29327728748321535,1.2088264687196408,1
size,mid_40pct,25d_vs_2d_bce_dice,dice,40,0.008482169325293368,0.021142008549187366,1
size,mid_40pct,25d_vs_2d_bce_dice,fnr,40,-0.012115186614763105,0.027539578185980833,1
size,mid_40pct,25d_vs_2d_bce_dice,fpr,40,-0.005144843869421248,0.024768153108595113,1
size,mid_40pct,25d_vs_2d_bce_dice,hd95,40,-0.12196859419345855,1.1171893718185901,1
size,mid_40pct,2d_boundary_vs_nonboundary,dice,40,-0.001679501996396593,0.018241799277178648,1
size,mid_40pct,2d_boundary_vs_nonboundary,fnr,40,-0.059442288549247026,0.04326975149115007,1
size,mid_40pct,2d_boundary_vs_nonboundary,fpr,40,0.30305107242315865,0.11695794017051836,1
size,mid_40pct,2d_boundary_vs_nonboundary,hd95,40,0.3216624855995178,1.3346892020903103,1
size,high_30pct,25d_boundary_vs_2d_boundary,dice,30,0.002170202652261651,0.01702822242578156,2
size,high_30pct,25d_boundary_vs_2d_boundary,fnr,30,-0.002574283805651802,0.013816431928646209,2
size,high_30pct,25d_boundary_vs_2d_boundary,fpr,30,-0.07016878784149737,0.12180156701709116,2
size,high_30pct,25d_boundary_vs_2d_boundary,hd95,30,-0.12520873943964642,1.5226199032027452,2
size,high_30pct,25d_boundary_vs_nonboundary,dice,30,-0.0004866539424833949,0.022989733319899446,2
size,high_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.033154535125833155,0.0470760126595576,2
size,high_30pct,25d_boundary_vs_nonboundary,fpr,30,0.2547677559043847,0.11697760526549328,2
size,high_30pct,25d_boundary_vs_nonboundary,hd95,30,0.14054790337880452,2.615830834896613,2
size,high_30pct,25d_vs_2d_bce_dice,dice,30,0.010151286565133573,0.029771877628585654,2
size,high_30pct,25d_vs_2d_bce_dice,fnr,30,0.00657929727034394,0.03612945051955779,2
size,high_30pct,25d_vs_2d_bce_dice,fpr,30,-0.04998929750163671,0.06171513345663104,2
size,high_30pct,25d_vs_2d_bce_dice,hd95,30,-0.5345168908437093,2.2099840943955633,2
size,high_30pct,2d_boundary_vs_nonboundary,dice,30,0.007494429970388528,0.035027663616776374,2
size,high_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.02400095404983742,0.02868210494482954,2
size,high_30pct,2d_boundary_vs_nonboundary,fpr,30,0.2749472462442454,0.16123954324066678,2
size,high_30pct,2d_boundary_vs_nonboundary,hd95,30,-0.2687602480252584,3.6629095067466992,2
size,low_30pct,25d_boundary_vs_2d_boundary,dice,30,0.050407299402629606,0.06168467406017025,2
size,low_30pct,25d_boundary_vs_2d_boundary,fnr,30,0.009034598446970084,0.0601751728470607,2
size,low_30pct,25d_boundary_vs_2d_boundary,fpr,30,-0.16244340140806246,0.12104473936228598,2
size,low_30pct,25d_boundary_vs_2d_boundary,hd95,30,-2.809757339954376,13.196012840909386,2
size,low_30pct,25d_boundary_vs_nonboundary,dice,30,-0.007141488466238732,0.05287357637226443,2
size,low_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.1045043250768244,0.0925849027412181,2
size,low_30pct,25d_boundary_vs_nonboundary,fpr,30,0.3005266600528774,0.10167846583290067,2
size,low_30pct,25d_boundary_vs_nonboundary,hd95,30,0.07063169479370117,6.9110884005678574,2
size,low_30pct,25d_vs_2d_bce_dice,dice,30,0.0233186417463004,0.05697462054169533,2
size,low_30pct,25d_vs_2d_bce_dice,fnr,30,0.03777551013946801,0.06329849856563677,2
size,low_30pct,25d_vs_2d_bce_dice,fpr,30,-0.06332519072688599,0.08385533553137936,2
size,low_30pct,25d_vs_2d_bce_dice,hd95,30,-4.3115964015324915,19.116218920385567,2
size,low_30pct,2d_boundary_vs_nonboundary,dice,30,-0.03423014612256795,0.06908983575439613,2
size,low_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.07576341338432643,0.09012016897912478,2
size,low_30pct,2d_boundary_vs_nonboundary,fpr,30,0.3996448707340538,0.14847891080401457,2
size,low_30pct,2d_boundary_vs_nonboundary,hd95,30,-1.4312073667844136,23.668859089632768,2
size,mid_40pct,25d_boundary_vs_2d_boundary,dice,40,0.01368238472160645,0.016687843598934323,2
size,mid_40pct,25d_boundary_vs_2d_boundary,fnr,40,0.0001546957411657836,0.024968073470327038,2
size,mid_40pct,25d_boundary_vs_2d_boundary,fpr,40,-0.09045354686228266,0.11689189339182342,2
size,mid_40pct,25d_boundary_vs_2d_boundary,hd95,40,-0.4183079808950424,1.3397483124338043,2
size,mid_40pct,25d_boundary_vs_nonboundary,dice,40,-0.002457695166846699,0.015278058854100324,2
size,mid_40pct,25d_boundary_vs_nonboundary,fnr,40,-0.04632017112836252,0.04224661950029202,2
size,mid_40pct,25d_boundary_vs_nonboundary,fpr,40,0.2740569860310959,0.14086129665861252,2
size,mid_40pct,25d_boundary_vs_nonboundary,hd95,40,0.16008038222789764,1.7597741921579881,2
size,mid_40pct,25d_vs_2d_bce_dice,dice,40,0.012777057406631922,0.02331298116019939,2
size,mid_40pct,25d_vs_2d_bce_dice,fnr,40,0.012623751316378617,0.03083723553474042,2
size,mid_40pct,25d_vs_2d_bce_dice,fpr,40,-0.05901156953451964,0.07107032342904925,2
size,mid_40pct,25d_vs_2d_bce_dice,hd95,40,-1.855152902007103,6.832009547673418,2
size,mid_40pct,2d_boundary_vs_nonboundary,dice,40,-0.0033630224818212264,0.019017611560340725,2
size,mid_40pct,2d_boundary_vs_nonboundary,fnr,40,-0.033851115553149694,0.03416015252769754,2
size,mid_40pct,2d_boundary_vs_nonboundary,fpr,40,0.3054989633588589,0.13957951030598978,2
size,mid_40pct,2d_boundary_vs_nonboundary,hd95,40,-1.2767645388841629,7.567029697780055,2
