model,n_seeds_used,dice_mean,dice_std,hd95_median_mean,hd95_median_std,fnr_mean,fnr_std,fpr_mean,fpr_std
2d_dice,5,0.7466673318565947,0.05760309113144495,6.357490921020508,1.7666437747467227,0.07390117498225322,0.03828891854419221,0.15058075526181985,0.06602756636035008
2d_bce_dice,5,0.7432815034540906,0.06831644011406958,5.750026798248291,1.9100592431865597,0.07743552722843731,0.05635383613667023,0.15855921774159035,0.1422751716928689
2d_bce_dice_posweighted,5,0.7546414355705009,0.03561792925946602,6.6917932510375975,1.5201729818426784,0.03622511829733339,0.02023537404892498,0.22413859972484831,0.052332978346595393
2d_bce_dice_boundary_0.05,5,0.7881581724345019,0.03835697872254968,4.998232221603393,1.2670799762369889,0.02929134568929752,0.016071153447856593,0.3035760060139609,0.11157287719191251
2d_bce_dice_boundary_0.1,5,0.7813813323852249,0.041484459491453435,5.917686080932617,1.9434259716080244,0.024606679328116568,0.01639479526400119,0.31119763516847965,0.10670855150991242
2d_bce_dice_boundary_0.2,5,0.775503909907702,0.03609304108996791,5.9879132270812985,1.002422331333114,0.02962562439661982,0.0075168965833536305,0.2838406806028103,0.0683501552597346
2d_bce_dice_posweighted_boundary_0.05,5,0.7725703254128264,0.03746244480194509,6.3259564399719235,0.7931528471197242,0.03497725895253854,0.021043415264010084,0.24046110862881878,0.05774540141023621
2d_bce_dice_posweighted_boundary_0.1,5,0.7699610943824546,0.03387741317568369,6.117774772644043,1.1808696647928945,0.034036088115723014,0.013082213671633333,0.2553889730816926,0.06361843494305344
2d_bce_dice_posweighted_boundary_0.2,5,0.7784896921364743,0.03591222722589087,5.9687494277954105,0.8865861922628664,0.03164105796735853,0.021493033464047146,0.23188351766455986,0.09286640522115588
25d_dice,5,0.7530645807757942,0.04295493733271865,6.636353778839111,1.2555101513018372,0.06559903424931958,0.019882574616153444,0.1739192835017233,0.058743657067971584
25d_bce_dice,5,0.7536568307816152,0.04694718032566885,5.588402652740479,1.2092119428907981,0.08604716772866736,0.05758878064778839,0.10627879526124936,0.053246293077272466
25d_bce_dice_posweighted,5,0.7668580744118902,0.035502827454349795,6.289336395263672,1.5332512753204526,0.03716148279660309,0.02040789826744889,0.20852404434067737,0.04438791875739794
25d_bce_dice_boundary_0.05,5,0.7869259434847224,0.04342169360430915,4.957168865203857,1.238182452565503,0.030251057366961598,0.009072871069131133,0.2491787037144731,0.07548682283926676
25d_bce_dice_boundary_0.1,5,0.7856051526843402,0.041077738528379065,5.229515266418457,1.3749529136811276,0.02672243772877626,0.011825928995284786,0.301428634969108,0.08408906753704547
25d_bce_dice_boundary_0.2,5,0.7863689945321513,0.043903418511022835,5.021056747436523,1.3933280083590989,0.03285338090562851,0.01615749564140434,0.25095465664193495,0.030859167867517242
25d_bce_dice_posweighted_boundary_0.05,5,0.7703642183772456,0.03874670329722528,6.422583770751953,1.755266555835717,0.03561974783782493,0.0242202021854616,0.24497176582934516,0.08160056624317318
25d_bce_dice_posweighted_boundary_0.1,5,0.7776965436454513,0.03116731125307374,6.062344360351562,1.1681802027709416,0.03142883998457689,0.016855630996118948,0.21972947105921503,0.05552989804029999
25d_bce_dice_posweighted_boundary_0.2,5,0.7759250157387221,0.024811806062564813,5.89995641708374,1.34129986057937,0.03587114564441548,0.022401914277638126,0.20737982553817186,0.06605980089490268
