seed,model,n_patients_total,n_patients_used_for_dice_hd95,dice_mean,dice_std,hd95_mean,hd95_median,hd95_std
0,2d_bce_dice,100,100,0.861,0.128,20.531,6.082,25.940
0,2d_boundary,100,100,0.878,0.124,18.208,5.242,23.265
0,25d_bce_dice,100,100,0.890,0.110,10.301,3.606,16.714
0,25d_boundary,100,100,0.878,0.114,22.177,5.915,26.203
1,2d_bce_dice,100,100,0.894,0.089,10.254,4.359,16.817
1,2d_boundary,100,100,0.891,0.089,14.567,4.690,22.188
1,25d_bce_dice,100,100,0.899,0.088,8.047,4.123,13.333
1,25d_boundary,100,100,0.900,0.088,10.287,3.239,17.387
2,2d_bce_dice,100,100,0.875,0.110,16.233,4.416,22.449
2,2d_boundary,100,100,0.872,0.112,20.841,7.071,26.415
2,25d_bce_dice,100,100,0.886,0.096,11.714,4.416,19.165
2,25d_boundary,100,100,0.888,0.090,14.150,4.791,20.764
